"Var1","Var2","radius"
-8.7,41,0.01
-8.69,41,0.01
-8.68,41,0.01
-8.67,41,0.01
-8.66,41,0.01
-8.65,41,0.01
-8.64,41,0.01
-8.63,41,0.01
-8.62,41,0.01
-8.61,41,0.01
-8.6,41,0.01
-8.59,41,0.01
-8.58,41,0.01
-8.57,41,0.01
-8.56,41,0.01
-8.55,41,0.01
-8.54,41,0.01
-8.53,41,0.01
-8.52,41,0.01
-8.51,41,0.01
-8.5,41,0.01
-8.49,41,0.01
-8.48,41,0.01
-8.47,41,0.01
-8.46,41,0.01
-8.45,41,0.01
-8.7,41.01,0.01
-8.69,41.01,0.01
-8.68,41.01,0.01
-8.67,41.01,0.01
-8.66,41.01,0.01
-8.65,41.01,0.01
-8.64,41.01,0.01
-8.63,41.01,0.01
-8.62,41.01,0.01
-8.61,41.01,0.01
-8.6,41.01,0.01
-8.59,41.01,0.01
-8.58,41.01,0.01
-8.57,41.01,0.01
-8.56,41.01,0.01
-8.55,41.01,0.01
-8.54,41.01,0.01
-8.53,41.01,0.01
-8.52,41.01,0.01
-8.51,41.01,0.01
-8.5,41.01,0.01
-8.49,41.01,0.01
-8.48,41.01,0.01
-8.47,41.01,0.01
-8.46,41.01,0.01
-8.45,41.01,0.01
-8.7,41.02,0.01
-8.69,41.02,0.01
-8.68,41.02,0.01
-8.67,41.02,0.01
-8.66,41.02,0.01
-8.65,41.02,0.01
-8.64,41.02,0.01
-8.63,41.02,0.01
-8.62,41.02,0.01
-8.61,41.02,0.01
-8.6,41.02,0.01
-8.59,41.02,0.01
-8.58,41.02,0.01
-8.57,41.02,0.01
-8.56,41.02,0.01
-8.55,41.02,0.01
-8.54,41.02,0.01
-8.53,41.02,0.01
-8.52,41.02,0.01
-8.51,41.02,0.01
-8.5,41.02,0.01
-8.49,41.02,0.01
-8.48,41.02,0.01
-8.47,41.02,0.01
-8.46,41.02,0.01
-8.45,41.02,0.01
-8.7,41.03,0.01
-8.69,41.03,0.01
-8.68,41.03,0.01
-8.67,41.03,0.01
-8.66,41.03,0.01
-8.65,41.03,0.01
-8.64,41.03,0.01
-8.63,41.03,0.01
-8.62,41.03,0.01
-8.61,41.03,0.01
-8.6,41.03,0.01
-8.59,41.03,0.01
-8.58,41.03,0.01
-8.57,41.03,0.01
-8.56,41.03,0.01
-8.55,41.03,0.01
-8.54,41.03,0.01
